##Names,APEC01.faa,UTI89.faa,CFT073.faa,SMS35.faa,S88.faa,ED1a.faa,E234869.faa,IAI39.faa,536.faa
APEC01.faa,0,0.00371276,0.00783086,0.0078382,0.00433438,0.0110658,0.00671483,0.0101987,0.00946239
UTI89.faa,0.00371276,0,0.00643963,0.00869746,0.00245429,0.0091564,0.00449808,0.00899904,0.00563104
CFT073.faa,0.00783086,0.00643963,0,0.0106838,0.00725382,0.00862112,0.00655234,0.0107942,0.00602064
SMS35.faa,0.0078382,0.00869746,0.0106838,0,0.0102136,0.0141282,0.00868791,0.00793036,0.0103491
S88.faa,0.00433438,0.00245429,0.00725382,0.0102136,0,0.0073814,0.00696906,0.00792386,0.00661695
ED1a.faa,0.0110658,0.0091564,0.00862112,0.0141282,0.0073814,0,0.0123648,0.0109998,0.0104641
E234869.faa,0.00671483,0.00449808,0.00655234,0.00868791,0.00696906,0.0123648,0,0.011281,0.00730747
IAI39.faa,0.0101987,0.00899904,0.0107942,0.00793036,0.00792386,0.0109998,0.011281,0,0.0100663
536.faa,0.00946239,0.00563104,0.00602064,0.0103491,0.00661695,0.0104641,0.00730747,0.0100663,0
