##Names	CFT073_cds	SMS35_cds	ED1a_cds	UTI89_cds	S88_cds	IAI39_cds	E234869_cds	APECO1_cds	536_cds
CFT073_cds	-	0.0284717	0.0162799	0.0129624	0.0143515	0.0280888	0.0207974	0.011871	0.0123379
SMS35_cds	-	-	0.0262555	0.0281025	0.0257798	0.0177032	0.0239718	0.0250626	0.0260426
ED1a_cds	-	-	-	0.0171634	0.0140908	0.02867	0.0197254	0.0145268	0.0171133
UTI89_cds	-	-	-	-	0.0075498	0.0264072	0.0196279	0.00400106	0.0123204
S88_cds	-	-	-	-	-	0.0257212	0.0196145	0.00650203	0.0160962
IAI39_cds	-	-	-	-	-	-	0.027454	0.0250838	0.0269994
E234869_cds	-	-	-	-	-	-	-	0.0176532	0.0216806
APECO1_cds	-	-	-	-	-	-	-	-	0.0134944
536_cds	-	-	-	-	-	-	-	-	-
