##Names	CFT073_cds.fna	SMS35_cds.fna	ED1a_cds.fna	UTI89_cds.fna	S88_cds.fna	IAI39_cds.fna	E234869_cds.fna	APECO1_cds.fna	536_cds.fna
CFT073_cds.fna	-	0.00327778	0.00257668	0.00204911	0.00186988	0.00300336	0.0022172	0.00173228	0.00175242
SMS35_cds.fna	-	-	0.00383671	0.0029522	0.0030568	0.00317478	0.00377602	0.00297279	0.00301673
ED1a_cds.fna	-	-	-	0.00257366	0.00222361	0.00276336	0.00245805	0.00248925	0.00217732
UTI89_cds.fna	-	-	-	-	0.00137483	0.00317681	0.0022313	0.000334024	0.00139504
S88_cds.fna	-	-	-	-	-	0.0034309	0.00230678	0.00109543	0.00221235
IAI39_cds.fna	-	-	-	-	-	-	0.00372551	0.0032456	0.00309024
E234869_cds.fna	-	-	-	-	-	-	-	0.00233251	0.0025096
APECO1_cds.fna	-	-	-	-	-	-	-	-	0.00145661
536_cds.fna	-	-	-	-	-	-	-	-	-
