Labels,536,APECO1,CFT073,E234869,ED1a,IAI39,S88,SMS35,UTI89
536,1,0,0.65,0.465,0.005,0.115,0.005,0.105,0.005
APECO1,0,1,0.005,0,0.535,0.16,0.725,0.19,0.845
CFT073,0.65,0.005,1,0.485,0.005,0.105,0.005,0.1,0.01
E234869,0.465,0,0.485,1,0,0.085,0,0.095,0
ED1a,0.005,0.535,0.005,0,1,0.175,0.52,0.18,0.53
IAI39,0.115,0.16,0.105,0.085,0.175,1,0.165,0.355,0.145
S88,0.005,0.725,0.005,0,0.52,0.165,1,0.19,0.73
SMS35,0.105,0.19,0.1,0.095,0.18,0.355,0.19,1,0.185
UTI89,0.005,0.845,0.01,0,0.53,0.145,0.73,0.185,1
